product_id,product_category_name,order_date,qty,total_price,product_score,year
bed1,bed_bath_table,2017-01-05,1,45.95,4.0,2017
bed1,bed_bath_table,2017-01-06,3,137.85,4.0,2017
bed1,bed_bath_table,2017-01-07,6,275.7,4.0,2017
bed1,bed_bath_table,2017-01-08,4,183.8,4.0,2017
bed1,bed_bath_table,2017-01-09,2,91.9,4.0,2017
bed1,bed_bath_table,2017-01-10,3,137.85,4.0,2017
bed1,bed_bath_table,2017-01-11,11,445.85,4.0,2017
bed1,bed_bath_table,2017-01-12,6,239.94,4.0,2017
bed1,bed_bath_table,2018-01-01,19,759.81,4.0,2018
bed1,bed_bath_table,2018-01-02,18,719.82,4.0,2018
bed1,bed_bath_table,2018-01-03,17,679.83,4.0,2018
bed1,bed_bath_table,2018-01-04,13,519.87,4.0,2018
bed1,bed_bath_table,2018-01-05,19,759.81,4.0,2018
bed1,bed_bath_table,2018-01-06,5,199.95,4.0,2018
bed1,bed_bath_table,2018-01-07,8,319.92,4.0,2018
bed1,bed_bath_table,2018-01-08,8,313.92,4.0,2018
garden5,garden_tools,2017-01-03,6,419.4,4.1,2017
garden5,garden_tools,2017-01-04,3,247.9,4.1,2017
garden5,garden_tools,2017-01-05,20,1956.0,4.1,2017
garden5,garden_tools,2017-01-06,8,712.0,4.1,2017
garden5,garden_tools,2017-01-07,10,890.0,4.1,2017
garden5,garden_tools,2017-01-08,7,683.0,4.1,2017
garden5,garden_tools,2017-01-09,9,891.0,4.1,2017
garden5,garden_tools,2017-01-10,14,1386.0,4.1,2017
garden5,garden_tools,2017-01-11,17,1683.0,4.1,2017
garden5,garden_tools,2017-01-12,11,1089.0,4.1,2017
garden5,garden_tools,2018-01-01,4,398.0,4.1,2018
garden5,garden_tools,2018-01-02,2,202.0,4.1,2018
garden5,garden_tools,2018-01-03,1,101.0,4.1,2018
garden5,garden_tools,2018-01-04,1,101.0,4.1,2018
consoles1,consoles_games,2017-01-07,13,258.7,4.2,2017
consoles1,consoles_games,2017-01-08,24,477.6,4.2,2017
consoles1,consoles_games,2017-01-09,9,179.1,4.2,2017
consoles1,consoles_games,2017-01-10,28,603.2,4.2,2017
consoles1,consoles_games,2017-01-11,28,686.0,4.2,2017
consoles1,consoles_games,2017-01-12,16,392.0,4.2,2017
consoles1,consoles_games,2018-01-02,5,162.5,4.2,2018
consoles1,consoles_games,2018-01-03,6,195.0,4.2,2018
consoles1,consoles_games,2018-01-04,7,245.4,4.2,2018
consoles1,consoles_games,2018-01-05,3,108.6,4.2,2018
consoles1,consoles_games,2018-01-06,2,72.4,4.2,2018
consoles1,consoles_games,2018-01-07,1,36.2,4.2,2018
garden7,garden_tools,2017-01-04,1,59.9,4.2,2017
garden7,garden_tools,2017-01-05,1,59.9,4.2,2017
garden7,garden_tools,2017-01-07,4,239.6,4.2,2017
garden7,garden_tools,2017-01-08,6,359.4,4.2,2017
garden7,garden_tools,2017-01-09,5,299.5,4.2,2017
garden7,garden_tools,2017-01-10,11,658.9,4.2,2017
garden7,garden_tools,2017-01-11,20,1043.6,4.2,2017
garden7,garden_tools,2017-01-12,10,571.8,4.2,2017
garden7,garden_tools,2018-01-01,11,548.9,4.2,2018
garden7,garden_tools,2018-01-02,8,411.2,4.2,2018
garden7,garden_tools,2018-01-03,3,161.7,4.2,2018
garden7,garden_tools,2018-01-04,8,431.2,4.2,2018
garden7,garden_tools,2018-01-05,9,477.1,4.2,2018
garden7,garden_tools,2018-01-06,5,249.5,4.2,2018
garden7,garden_tools,2018-01-07,6,299.4,4.2,2018
garden7,garden_tools,2018-01-08,7,349.3,4.2,2018
health9,health_beauty,2017-01-02,11,219.89,4.3,2017
health9,health_beauty,2017-01-03,9,179.91,4.3,2017
health9,health_beauty,2017-01-04,13,259.87,4.3,2017
health9,health_beauty,2017-01-05,16,319.84,4.3,2017
health9,health_beauty,2017-01-06,21,419.79,4.3,2017
health9,health_beauty,2017-01-07,29,579.71,4.3,2017
health9,health_beauty,2017-01-08,28,651.72,4.3,2017
health9,health_beauty,2017-01-09,24,575.76,4.3,2017
health9,health_beauty,2017-01-10,27,647.73,4.3,2017
health9,health_beauty,2017-01-11,28,671.72,4.3,2017
health9,health_beauty,2017-01-12,19,455.81,4.3,2017
health9,health_beauty,2018-01-01,19,455.81,4.3,2018
health9,health_beauty,2018-01-02,14,335.86,4.3,2018
health9,health_beauty,2018-01-03,8,191.92,4.3,2018
health9,health_beauty,2018-01-05,7,167.93,4.3,2018
health9,health_beauty,2018-01-06,3,71.97,4.3,2018
health9,health_beauty,2018-01-07,3,71.97,4.3,2018
health9,health_beauty,2018-01-08,2,47.98,4.3,2018
cool4,cool_stuff,2017-01-07,1,134.99,3.8,2017
cool4,cool_stuff,2017-01-08,1,134.99,3.8,2017
cool4,cool_stuff,2017-01-10,12,1763.88,3.8,2017
cool4,cool_stuff,2017-01-11,27,4248.73,3.8,2017
cool4,cool_stuff,2017-01-12,29,4842.71,3.8,2017
cool4,cool_stuff,2018-01-01,13,2170.87,3.8,2018
cool4,cool_stuff,2018-01-02,8,1415.92,3.8,2018
cool4,cool_stuff,2018-01-03,11,1911.89,3.8,2018
cool4,cool_stuff,2018-01-04,6,1019.94,3.8,2018
health3,health_beauty,2018-01-01,1,110.99,4.1,2018
health3,health_beauty,2018-01-02,2,221.98,4.1,2018
health3,health_beauty,2018-01-03,9,998.91,4.1,2018
health3,health_beauty,2018-01-04,13,1514.87,4.1,2018
health3,health_beauty,2018-01-05,23,2759.77,4.1,2018
health3,health_beauty,2018-01-06,43,5288.57,4.1,2018
health3,health_beauty,2018-01-07,33,4058.67,4.1,2018
health3,health_beauty,2018-01-08,32,3935.68,4.1,2018
perfumery1,perfumery,2017-01-06,4,227.96,4.3,2017
perfumery1,perfumery,2017-01-07,7,398.93,4.3,2017
perfumery1,perfumery,2017-01-08,7,398.93,4.3,2017
perfumery1,perfumery,2017-01-09,17,968.83,4.3,2017
perfumery1,perfumery,2017-01-10,17,968.83,4.3,2017
perfumery1,perfumery,2017-01-11,20,1139.8,4.3,2017
perfumery1,perfumery,2017-01-12,24,1367.76,4.3,2017
perfumery1,perfumery,2018-01-01,10,569.9,4.3,2018
perfumery1,perfumery,2018-01-02,4,227.96,4.3,2018
